도로ID,도로명,소속구,지류,위도,경도,AADT,불투수면,위험도
8901760,강남대로,강남구,탄천,37.4988,127.0349,27041,57.72,43.6
8902208,남부순환로,강남구,탄천,37.4885,127.0862,57125,57.72,78.1
8901921,테헤란로,강남구,탄천,37.5145,127.0619,40890,57.72,59.5
1092198,언주로,강남구,탄천,37.4903,127.0553,31438,57.72,48.6
8901675,남부순환로,서초구,탄천,37.4837,126.9925,39623,38.4,46.0
1037054,화랑로,노원구,중랑천,37.6280,127.0765,24658,39.16,32.7
1090219,도봉로,도봉구,중랑천,37.6532,127.0472,20173,43.05,30.1
1013707,개봉로,구로구,안양천,37.4931,126.8496,11050,64.3,27.0
8903073,도로명 미상,양천구,안양천,37.5228,126.8339,28320,70.27,51.1
8102543,디지털로,금천구,안양천,37.4784,126.8825,15606,66.72,33.4
1065171,연희로,서대문구,홍제천,37.5665,126.9346,18188,58.13,33.5
8903318,도로명 미상,영등포구,안양천,37.5280,126.8965,38426,61.04,58.6
1017556,국회대로,마포구,홍제천,37.5495,126.9367,21781,57.2,37.3
8902960,세종대로,종로구,홍제천,37.5757,126.9691,31902,41.33,40.5
1094444,백제고분로,송파구,성내천,37.5133,127.0868,19711,61.96,36.7
